City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Motala,SE,58.5371,15.0365,44.37,87,100,13.2,overcast clouds
269,Darnah,LY,32.767,22.6367,72.14,57,100,7.45,overcast clouds
270,Santa Cruz Del Norte,CU,23.1539,-81.9236,79.41,84,99,6.76,overcast clouds
271,Santa Fe,AR,-31.6333,-60.7,64.98,49,0,1.99,clear sky
272,Hauterive,FR,46.0901,3.4459,45.36,91,11,4.85,few clouds
273,Sinnamary,GF,5.3833,-52.95,78.39,90,100,10.31,moderate rain
274,Nisia Floresta,BR,-6.0911,-35.2086,79.61,80,66,7.23,broken clouds
275,Tyukhtet,RU,56.5389,89.3011,42.39,87,100,12.01,light rain
276,Nortelandia,BR,-14.4547,-56.8028,71.17,97,100,5.12,overcast clouds
277,Tchaourou,BJ,8.8865,2.5975,73.17,86,28,2.62,scattered clouds
278,Karla,EE,59.3723,24.9275,49.57,84,40,16.11,scattered clouds
279,Qandala,SO,11.472,49.8728,78.35,69,4,1.19,clear sky
280,Cabanas,CU,22.9758,-82.9219,79.27,90,100,6.73,overcast clouds
281,Imbituba,BR,-28.24,-48.6703,62.82,72,0,2.89,clear sky
282,Eyl,SO,7.9803,49.8164,77.5,81,43,4.83,scattered clouds
283,Kpalime,TG,6.9,0.6333,72.07,96,6,1.72,clear sky
284,Lons-Le-Saunier,FR,46.75,5.75,49.24,77,2,3.11,clear sky
285,Sisimiut,GL,66.9395,-53.6735,17.31,78,20,9.95,few clouds
286,Kozhva,RU,65.1073,57.0459,25.25,95,100,4.14,overcast clouds
287,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,77.63,77,19,2.48,few clouds
288,Jacareacanga,BR,-6.2222,-57.7528,74.75,88,42,0.63,scattered clouds
289,Sorkjosen,NO,69.8,20.9333,26.64,83,100,15.48,overcast clouds
290,Matay,EG,28.419,30.7792,64.31,76,0,10.51,clear sky
291,Bayburt,TR,40.2589,40.2278,39.72,85,100,3.78,overcast clouds
292,Mehamn,NO,71.0357,27.8492,26.42,82,36,8.28,scattered clouds
293,Roald,NO,62.5833,6.1333,53.33,82,90,8.05,overcast clouds
